case_id,conscientiousness_score,neuroticism_score
256122,0.206666666666667,0.753333333333333
70848,0.213333333333333,0.96
140657,0.213333333333333,0.96
317909,0.213333333333333,0.87
179451,0.223333333333333,0.423333333333333
104160,0.226666666666667,0.906666666666667
48455,0.236666666666667,0.973333333333333
103908,0.24,0.813333333333333
267734,0.24,0.77
39358,0.243333333333333,0.793333333333333
63661,0.246666666666667,0.976666666666667
203567,0.25,0.76
283984,0.256666666666667,0.81
287583,0.256666666666667,0.923333333333333
210440,0.26,0.813333333333333
321870,0.26,0.663333333333333
90026,0.263333333333333,0.93
92116,0.263333333333333,0.92
202707,0.263333333333333,0.84
305199,0.263333333333333,0.766666666666667
154695,0.266666666666667,0.983333333333333
244513,0.266666666666667,0.953333333333333
55036,0.27,0.696666666666667
79905,0.27,0.95
51013,0.273333333333333,0.86
195422,0.273333333333333,0.866666666666667
140197,0.28,0.76
200528,0.28,0.7
288462,0.28,0.613333333333333
86585,0.283333333333333,0.906666666666667
150284,0.283333333333333,0.553333333333333
64280,0.286666666666667,0.92
116979,0.286666666666667,0.766666666666667
198011,0.286666666666667,0.923333333333333
201447,0.286666666666667,0.816666666666667
234854,0.286666666666667,0.913333333333333
238688,0.286666666666667,0.776666666666667
55075,0.29,0.673333333333333
57391,0.29,0.68
91439,0.29,0.843333333333333
103717,0.29,0.676666666666667
105998,0.29,0.756666666666667
116952,0.29,0.6
144442,0.29,0.796666666666667
168492,0.29,0.82
287761,0.29,0.793333333333333
62581,0.293333333333333,0.823333333333333
140175,0.293333333333333,0.863333333333333
195549,0.293333333333333,0.9
260277,0.293333333333333,0.743333333333333
2511,0.296666666666667,0.843333333333333
61265,0.296666666666667,0.92
108688,0.296666666666667,0.943333333333333
108742,0.296666666666667,0.88
114068,0.296666666666667,0.766666666666667
201110,0.296666666666667,0.806666666666667
318002,0.296666666666667,0.913333333333333
85309,0.3,0.57
86024,0.3,0.826666666666667
111166,0.3,0.933333333333333
161292,0.3,0.886666666666667
165733,0.3,0.84
182065,0.3,0.766666666666667
186909,0.3,0.536666666666667
195149,0.3,0.75
264417,0.3,0.613333333333333
21279,0.303333333333333,0.68
80330,0.303333333333333,0.893333333333333
93911,0.303333333333333,0.7
117407,0.303333333333333,0.82
165667,0.303333333333333,0.956666666666667
231361,0.303333333333333,0.816666666666667
292721,0.303333333333333,0.553333333333333
308252,0.303333333333333,0.466666666666667
12797,0.306666666666667,0.65
17199,0.306666666666667,0.886666666666667
72645,0.306666666666667,0.933333333333333
86582,0.306666666666667,0.886666666666667
113731,0.306666666666667,0.88
122729,0.306666666666667,0.686666666666667
143202,0.306666666666667,0.69
171632,0.306666666666667,0.826666666666667
210449,0.306666666666667,0.886666666666667
5413,0.31,0.943333333333333
13500,0.31,0.726666666666667
35324,0.31,0.856666666666667
94575,0.31,0.806666666666667
109788,0.31,0.873333333333333
169970,0.31,0.853333333333333
178839,0.31,0.74
187195,0.31,0.82
204019,0.31,0.813333333333333
232283,0.31,0.866666666666667
237366,0.31,0.773333333333333
242317,0.31,0.666666666666667
12979,0.313333333333333,0.82
24147,0.313333333333333,0.956666666666667
24764,0.313333333333333,0.856666666666667
70666,0.313333333333333,0.806666666666667
139638,0.313333333333333,0.806666666666667
