case_id,neuroticism_score,conscientiousness_score
145098,0.196666666666667,0.97
95177,0.2,0.973333333333333
107990,0.2,0.976666666666667
269152,0.2,0.976666666666667
312190,0.2,0.956666666666667
314000,0.2,0.96
319402,0.2,0.97
316207,0.203333333333333,0.943333333333333
268450,0.206666666666667,0.936666666666667
5989,0.21,0.933333333333333
76541,0.21,0.91
217602,0.21,0.953333333333333
224595,0.21,0.983333333333333
238630,0.21,0.916666666666667
302795,0.21,0.966666666666667
321253,0.21,0.996666666666667
44715,0.213333333333333,0.983333333333333
45826,0.213333333333333,0.946666666666667
54323,0.213333333333333,0.946666666666667
66002,0.213333333333333,0.986666666666667
207585,0.213333333333333,0.986666666666667
217392,0.213333333333333,1
224555,0.213333333333333,0.99
234778,0.213333333333333,1
243874,0.213333333333333,0.9
248060,0.213333333333333,0.973333333333333
254712,0.213333333333333,0.976666666666667
274412,0.213333333333333,0.93
277611,0.213333333333333,0.886666666666667
311420,0.213333333333333,0.956666666666667
315326,0.213333333333333,0.9
318347,0.213333333333333,0.99
318385,0.213333333333333,0.856666666666667
318854,0.213333333333333,0.986666666666667
331065,0.213333333333333,0.92
333400,0.213333333333333,0.883333333333333
95717,0.216666666666667,0.976666666666667
109787,0.216666666666667,0.906666666666667
117011,0.216666666666667,0.95
268488,0.216666666666667,0.963333333333333
277061,0.216666666666667,0.936666666666667
280340,0.216666666666667,0.963333333333333
292537,0.216666666666667,0.963333333333333
299786,0.216666666666667,0.98
321110,0.216666666666667,0.696666666666667
329908,0.216666666666667,0.956666666666667
98130,0.22,0.973333333333333
124778,0.22,0.923333333333333
205339,0.22,0.89
247021,0.22,0.91
248875,0.22,0.91
261792,0.22,0.963333333333333
278594,0.22,0.953333333333333
289705,0.22,0.98
326505,0.22,0.993333333333333
328662,0.22,0.963333333333333
332127,0.22,0.963333333333333
6246,0.223333333333333,0.976666666666667
23666,0.223333333333333,0.98
61079,0.223333333333333,0.963333333333333
97093,0.223333333333333,0.92
130173,0.223333333333333,0.963333333333333
183311,0.223333333333333,0.973333333333333
190229,0.223333333333333,0.946666666666667
222971,0.223333333333333,0.96
223291,0.223333333333333,0.983333333333333
227128,0.223333333333333,0.99
244582,0.223333333333333,0.946666666666667
255683,0.223333333333333,0.97
262322,0.223333333333333,0.963333333333333
268308,0.223333333333333,0.976666666666667
284673,0.223333333333333,0.903333333333333
286916,0.223333333333333,0.796666666666667
289288,0.223333333333333,0.973333333333333
289459,0.223333333333333,0.973333333333333
294494,0.223333333333333,0.886666666666667
308955,0.223333333333333,0.963333333333333
312067,0.223333333333333,0.953333333333333
313939,0.223333333333333,0.98
313978,0.223333333333333,0.95
317965,0.223333333333333,0.913333333333333
318918,0.223333333333333,0.966666666666667
331043,0.223333333333333,0.96
22728,0.226666666666667,0.94
30117,0.226666666666667,0.876666666666667
38632,0.226666666666667,0.75
41262,0.226666666666667,0.723333333333333
42784,0.226666666666667,1
70436,0.226666666666667,0.863333333333333
102636,0.226666666666667,0.953333333333333
102805,0.226666666666667,0.993333333333333
109658,0.226666666666667,1
136241,0.226666666666667,0.78
142388,0.226666666666667,0.893333333333333
144436,0.226666666666667,0.933333333333333
169662,0.226666666666667,0.913333333333333
217605,0.226666666666667,0.97
224006,0.226666666666667,0.953333333333333
233143,0.226666666666667,0.96
235348,0.226666666666667,0.973333333333333
