case_id,neuroticism_score,conscientiousness_score
49998,0.996666666666667,0.553333333333333
109948,0.993333333333333,0.55
299848,0.99,0.356666666666667
151441,0.99,0.313333333333333
19547,0.99,0.413333333333333
205254,0.986666666666667,0.666666666666667
114873,0.986666666666667,0.613333333333333
267956,0.983333333333333,0.376666666666667
248660,0.983333333333333,0.576666666666667
154695,0.983333333333333,0.266666666666667
139963,0.983333333333333,0.47
89962,0.983333333333333,0.606666666666667
70004,0.983333333333333,0.39
288275,0.98,0.496666666666667
256889,0.98,0.436666666666667
178240,0.98,0.573333333333333
177206,0.98,0.35
83646,0.98,0.62
301157,0.976666666666667,0.63
251603,0.976666666666667,0.316666666666667
208628,0.976666666666667,0.62
117350,0.976666666666667,0.356666666666667
63661,0.976666666666667,0.246666666666667
21117,0.976666666666667,0.443333333333333
274385,0.973333333333333,0.63
261381,0.973333333333333,0.53
236936,0.973333333333333,0.646666666666667
160347,0.973333333333333,0.4
152235,0.973333333333333,0.796666666666667
99773,0.973333333333333,0.583333333333333
67190,0.973333333333333,0.626666666666667
65075,0.973333333333333,0.406666666666667
62112,0.973333333333333,0.553333333333333
48455,0.973333333333333,0.236666666666667
284046,0.97,0.316666666666667
279432,0.97,0.456666666666667
202339,0.97,0.56
201782,0.97,0.41
189388,0.97,0.47
126797,0.97,0.523333333333333
79147,0.97,0.516666666666667
77563,0.97,0.443333333333333
54303,0.97,0.646666666666667
39188,0.97,0.35
7995,0.97,0.39
7975,0.97,0.676666666666667
325022,0.966666666666667,0.53
284388,0.966666666666667,0.583333333333333
253547,0.966666666666667,0.493333333333333
247441,0.966666666666667,0.37
200587,0.966666666666667,0.493333333333333
148156,0.966666666666667,0.596666666666667
102394,0.966666666666667,0.656666666666667
79234,0.966666666666667,0.473333333333333
11949,0.966666666666667,0.44
7982,0.966666666666667,0.696666666666667
257132,0.963333333333333,0.383333333333333
251535,0.963333333333333,0.626666666666667
238432,0.963333333333333,0.58
225272,0.963333333333333,0.376666666666667
188782,0.963333333333333,0.396666666666667
175822,0.963333333333333,0.423333333333333
169363,0.963333333333333,0.44
160065,0.963333333333333,0.493333333333333
152768,0.963333333333333,0.466666666666667
128103,0.963333333333333,0.49
88411,0.963333333333333,0.453333333333333
88396,0.963333333333333,0.373333333333333
76715,0.963333333333333,0.343333333333333
75206,0.963333333333333,0.433333333333333
35021,0.963333333333333,0.48
34653,0.963333333333333,0.683333333333333
1940,0.963333333333333,0.516666666666667
319752,0.96,0.543333333333333
318256,0.96,0.436666666666667
286953,0.96,0.633333333333333
239286,0.96,0.57
232074,0.96,0.496666666666667
157732,0.96,0.34
153463,0.96,0.433333333333333
141098,0.96,0.496666666666667
140657,0.96,0.213333333333333
128248,0.96,0.39
127020,0.96,0.523333333333333
123377,0.96,0.416666666666667
117091,0.96,0.476666666666667
115677,0.96,0.576666666666667
109776,0.96,0.41
106875,0.96,0.423333333333333
85757,0.96,0.596666666666667
70848,0.96,0.213333333333333
49733,0.96,0.65
32908,0.96,0.326666666666667
282692,0.956666666666667,0.563333333333333
270294,0.956666666666667,0.71
251498,0.956666666666667,0.55
202379,0.956666666666667,0.433333333333333
198779,0.956666666666667,0.563333333333333
196950,0.956666666666667,0.516666666666667
165667,0.956666666666667,0.303333333333333
